STATE_FIPS,CNTY_FIPS,STCOFIPS,TRACT,FIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,CAG1V1P,CAG1V2P,CAG1V3P,CAG1V4P,CAG1TP,CAG2V1P,CAG2V2P,CAG2V3P,CAG2V4P,CAG2TP,CAG3V1P,CAG3V2P,CAG3TP,CAG4V1P,CAG4V2P,CAG4V3P,CAG4V4P,CAG4V5P,CAG4TP,RPL_THEMES,CAG1V1F,CAG1V2F,CAG1V3F,CAG1V4F,CAG1TF,CAG2V1F,CAG2V2F,CAG2V3F,CAG2V4F,CAG2TF,CAG3V1F,CAG3V2F,CAG3TF,CAG4V1F,CAG4V2F,CAG4V3F,CAG4V4F,CAG4V5F,CAG4TF,CATF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
06,001,06001,400100,06001400100,California,CA,Alameda,0.0292,0.0099,75970.0,0.3689,0.1765,0.14326298,0.08554319,0.01374885,0.23538961,0.00513259,0.0,0.0,0.0026,0.0215,0.0,0.0877,0.0173,0.011,0.761,0.138,0.8767,0.0797,0.0291,0.0237,0.0581,0.2069,0.0416,0.1034,0.0,0.0,0.0226,0.1452,0.0,0.0083,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2464.0,1151.0,72.0,15.0,48.0,435.0,353.0,200.0,15.0,580.0,12.0,0.0,0.0,3.0,24.0,0.0
06,001,06001,400200,06001400200,California,CA,Alameda,0.0684,0.0496,52223.0,0.2912,0.1111,0.11934156,0.0938992,0.02510917,0.20010288,0.01485411,0.11345939,0.0,0.01,0.093,0.02880658,0.3248,0.3913,0.0448,0.673,0.32,0.5859,0.0574,0.0457,0.0579,0.027,0.1545,0.153,0.1339,0.5685,0.0,0.0504,0.639,0.8533,0.3859,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,899.0,133.0,65.0,26.0,216.0,232.0,177.0,23.0,389.0,28.0,102.0,0.0,9.0,83.0,56.0
06,001,06001,400300,06001400300,California,CA,Alameda,0.0949,0.0377,38891.0,0.4481,0.0902,0.13448134,0.14282565,0.05,0.3208282,0.01649802,0.1908843,0.00545383,0.028,0.1322,0.00840508,0.449,0.2487,0.1112,0.832,0.39,0.4432,0.0714,0.2214,0.2086,0.0461,0.3211,0.1732,0.2398,0.711,0.598,0.1538,0.7695,0.6469,0.7054,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4878.0,2567.0,463.0,129.0,172.0,440.0,656.0,648.0,125.0,1565.0,75.0,490.0,14.0,70.0,330.0,41.0
06,001,06001,400400,06001400400,California,CA,Alameda,0.0945,0.0455,37107.0,0.3255,0.0849,0.1270839,0.14541257,0.05370985,0.36376059,0.01182919,0.12925531,0.0,0.0305,0.1247,0.00683246,0.4473,0.3438,0.128,0.715,0.388,0.3991,0.0635,0.2348,0.2382,0.0446,0.3741,0.1186,0.238,0.6055,0.0,0.1708,0.7492,0.6112,0.3953,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3659.0,1880.0,346.0,112.0,154.0,311.0,465.0,504.0,97.0,1331.0,41.0,243.0,0.0,55.0,225.0,25.0
06,001,06001,400500,06001400500,California,CA,Alameda,0.1411,0.0541,24084.0,0.3742,0.0957,0.16983894,0.1703567,0.08046722,0.63016105,0.01660516,0.17988757,0.0,0.0683,0.1541,0.00556368,0.6076,0.4365,0.3661,0.766,0.566,0.4821,0.1158,0.3695,0.4457,0.1987,0.6307,0.1744,0.4018,0.6969,0.0,0.3752,0.8171,0.5752,0.5265,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415.0,1601.0,476.0,113.0,254.0,327.0,580.0,554.0,124.0,2152.0,54.0,288.0,0.0,105.0,237.0,19.0
06,001,06001,400600,06001400600,California,CA,Alameda,0.1462,0.0523,23531.0,0.2326,0.1468,0.17097532,0.23220747,0.13085399,0.75910693,0.00540865,0.08683853,0.0,0.0584,0.1754,0.0,0.6224,0.4176,0.3801,0.585,0.507,0.7833,0.1184,0.7528,0.735,0.6854,0.7401,0.0442,0.3901,0.5047,0.0,0.3319,0.851,0.0,0.249,0.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.0,737.0,247.0,49.0,286.0,250.0,291.0,385.0,95.0,1292.0,9.0,64.0,0.0,42.0,126.0,0.0
06,001,06001,400700,06001400700,California,CA,Alameda,0.2388,0.0687,16551.0,0.3495,0.1469,0.21995057,0.25465393,0.13522537,0.82116378,0.0274463,0.07101525,0.0,0.0672,0.2306,0.01617614,0.8199,0.5626,0.6323,0.74,0.75,0.7839,0.2481,0.8514,0.7547,0.8143,0.7891,0.2871,0.5383,0.4649,0.0,0.3704,0.911,0.7536,0.5415,0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4451.0,1901.0,1054.0,153.0,692.0,654.0,979.0,1067.0,243.0,3655.0,115.0,135.0,0.0,121.0,415.0,72.0
06,013,06013,302002,06013302002,California,CA,Contra Costa,0.0755,0.0456,19087.0,0.4373,0.073,0.33215339,0.17471353,0.0990712,0.40495575,0.06443729,0.0049261,0.04660856,0.086,0.0644,0.00778761,0.362,0.3452,0.5331,0.823,0.525,0.3083,0.7886,0.3987,0.5745,0.525,0.4169,0.5046,0.4616,0.1943,0.7702,0.4429,0.4817,0.6336,0.5523,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8475.0,2639.0,636.0,185.0,1006.0,619.0,2815.0,1357.0,256.0,3432.0,501.0,13.0,123.0,223.0,167.0,66.0
06,013,06013,302003,06013302003,California,CA,Contra Costa,0.0421,0.0303,21707.0,0.1355,0.0565,0.35206724,0.15866053,0.06110236,0.36926986,0.02642559,0.02598622,0.06825297,0.0563,0.0414,0.00068419,0.1663,0.164,0.4399,0.387,0.228,0.1828,0.8601,0.305,0.3,0.3159,0.3792,0.2777,0.326,0.3162,0.8036,0.3192,0.324,0.3165,0.3745,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10231.0,3194.0,431.0,154.0,763.0,579.0,3602.0,1483.0,194.0,3778.0,247.0,83.0,218.0,178.0,131.0,7.0
06,013,06013,302004,06013302004,California,CA,Contra Costa,0.0413,0.0247,24818.0,0.396,0.0283,0.35934348,0.11363864,0.0690943,0.39345314,0.03878144,0.0,0.00953259,0.0574,0.0231,0.0,0.1621,0.1056,0.3463,0.787,0.31,0.0342,0.8845,0.099,0.3607,0.1826,0.4059,0.3708,0.3866,0.0,0.6608,0.3262,0.1576,0.0,0.1198,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10906.0,3252.0,447.0,131.0,716.0,309.0,3919.0,1134.0,222.0,4291.0,387.0,0.0,31.0,184.0,74.0,0.0
